,Movie Title,Link,Director and Player
0,The King's Man,https://www.imdb.com/title/tt6856242/,"Matthew Vaughn (dir.), Ralph Fiennes, Gemma Arterton"
1,Texas Chainsaw Massacre,https://www.imdb.com/title/tt11755740/,"David Blue Garcia (dir.), Sarah Yarkin, Elsie Fisher"
2,Uncharted,https://www.imdb.com/title/tt1464335/,"Ruben Fleischer (dir.), Tom Holland, Mark Wahlberg"
3,The Batman,https://www.imdb.com/title/tt1877830/,"Matt Reeves (dir.), Zoë Kravitz, Robert Pattinson"
4,Licorice Pizza,https://www.imdb.com/title/tt11271038/,"Paul Thomas Anderson (dir.), Alana Haim, Cooper Hoffman"
5,Death on the Nile,https://www.imdb.com/title/tt7657566/,"Kenneth Branagh (dir.), Tom Bateman, Annette Bening"
6,Elvis,https://www.imdb.com/title/tt3704428/,"Baz Luhrmann (dir.), Tom Hanks, Austin Butler"
7,Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,"Jon Watts (dir.), Tom Holland, Zendaya"
8,Encanto,https://www.imdb.com/title/tt2953050/,"Jared Bush (dir.), Stephanie Beatriz, María Cecilia Botero"
9,Free Guy,https://www.imdb.com/title/tt6264654/,"Shawn Levy (dir.), Ryan Reynolds, Jodie Comer"
10,Nightmare Alley,https://www.imdb.com/title/tt7740496/,"Guillermo del Toro (dir.), Bradley Cooper, Cate Blanchett"
11,Scream,https://www.imdb.com/title/tt11245972/,"Matt Bettinelli-Olpin (dir.), Neve Campbell, Courteney Cox"
12,The Power of the Dog,https://www.imdb.com/title/tt10293406/,"Jane Campion (dir.), Benedict Cumberbatch, Kirsten Dunst"
13,Doctor Strange in the Multiverse of Madness,https://www.imdb.com/title/tt9419884/,"Sam Raimi (dir.), Benedict Cumberbatch, Elizabeth Olsen"
14,Dog,https://www.imdb.com/title/tt11252248/,"Reid Carolin (dir.), Channing Tatum, Q'orianka Kilcher"
15,Ghostbusters: Afterlife,https://www.imdb.com/title/tt4513678/,"Jason Reitman (dir.), Carrie Coon, Paul Rudd"
16,Eternals,https://www.imdb.com/title/tt9032400/,"Chloé Zhao (dir.), Gemma Chan, Richard Madden"
17,Dune,https://www.imdb.com/title/tt1160419/,"Denis Villeneuve (dir.), Timothée Chalamet, Rebecca Ferguson"
18,Marry Me,https://www.imdb.com/title/tt10223460/,"Kat Coiro (dir.), Jennifer Lopez, Owen Wilson"
19,Don't Look Up,https://www.imdb.com/title/tt11286314/,"Adam McKay (dir.), Leonardo DiCaprio, Jennifer Lawrence"
20,House of Gucci,https://www.imdb.com/title/tt11214590/,"Ridley Scott (dir.), Lady Gaga, Adam Driver"
21,The Texas Chain Saw Massacre,https://www.imdb.com/title/tt0072271/,"Tobe Hooper (dir.), Marilyn Burns, Edwin Neal"
22,Belfast,https://www.imdb.com/title/tt12789558/,"Kenneth Branagh (dir.), Jude Hill, Lewis McAskie"
23,The French Dispatch,https://www.imdb.com/title/tt8847712/,"Wes Anderson (dir.), Benicio Del Toro, Adrien Brody"
24,Studio 666,https://www.imdb.com/title/tt15374070/,"BJ McDonnell (dir.), Whitney Cummings, Foo Fighters"
25,The Tinder Swindler,https://www.imdb.com/title/tt14992922/,"Felicity Morris (dir.), Cecilie Fjellhøy, Kristoffer Kumar"
26,Sing 2,https://www.imdb.com/title/tt6467266/,"Garth Jennings (dir.), Matthew McConaughey, Reese Witherspoon"
27,No Exit,https://www.imdb.com/title/tt7550014/,"Damien Power (dir.), Havana Rose Liu, Danny Ramirez"
28,Kingsman: The Secret Service,https://www.imdb.com/title/tt2802144/,"Matthew Vaughn (dir.), Colin Firth, Taron Egerton"
29,West Side Story,https://www.imdb.com/title/tt3581652/,"Steven Spielberg (dir.), Ansel Elgort, Rachel Zegler"
30,Cyrano,https://www.imdb.com/title/tt12889404/,"Joe Wright (dir.), Peter Dinklage, Haley Bennett"
31,Fistful of Vengeance,https://www.imdb.com/title/tt14158554/,"Roel Reiné (dir.), Iko Uwais, Lewis Tan"
32,CODA,https://www.imdb.com/title/tt10366460/,"Sian Heder (dir.), Emilia Jones, Marlee Matlin"
33,Kimi,https://www.imdb.com/title/tt14128670/,"Steven Soderbergh (dir.), Zoë Kravitz, Erika Christensen"
34,Jackass Forever,https://www.imdb.com/title/tt11466222/,"Jeff Tremaine (dir.), Johnny Knoxville, Steve-O"
35,The Worst Person in the World,https://www.imdb.com/title/tt10370710/,"Joachim Trier (dir.), Renate Reinsve, Anders Danielsen Lie"
36,I Want You Back,https://www.imdb.com/title/tt6462958/,"Jason Orley (dir.), Charlie Day, Jenny Slate"
37,A Thursday,https://www.imdb.com/title/tt13028258/,"Behzad Khambata (dir.), Yami Gautam, Atul Kulkarni"
38,The Last Duel,https://www.imdb.com/title/tt4244994/,"Ridley Scott (dir.), Matt Damon, Adam Driver"
39,The Suicide Squad,https://www.imdb.com/title/tt6334354/,"James Gunn (dir.), Margot Robbie, Idris Elba"
40,Gasoline Alley,https://www.imdb.com/title/tt14174168/,"Edward Drake (dir.), Bruce Willis, Devon Sawa"
41,Spencer,https://www.imdb.com/title/tt12536294/,"Pablo Larraín (dir.), Kristen Stewart, Timothy Spall"
42,No Time to Die,https://www.imdb.com/title/tt2382320/,"Cary Joji Fukunaga (dir.), Daniel Craig, Ana de Armas"
43,The Bad Guys,https://www.imdb.com/title/tt8115900/,"Pierre Perifel (dir.), Sam Rockwell, Awkwafina"
